trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'e': 0.42805066795449304, 'a': 0.5}",20,0,-1.8166839593706994,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
43,False,"{'e': 0.41948965459540316, 'a': 0.5}",20,16,4.896629982335111,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'e': 0.4110998615034951, 'a': 0.5}",25,0,9.243285603590444,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
45,False,"{'e': 0.4028778642734252, 'a': 0.5}",25,0,-95.69894713217303,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
46,False,"{'e': 0.39482030698795667, 'a': 0.5}",25,8,-10.74855203776837,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
47,False,"{'e': 0.38692390084819756, 'a': 0.5}",25,6,2.8766619085536194,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'e': 0.3791854228312336, 'a': 0.5}",25,7,-0.04282077220796476,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
49,False,"{'e': 0.37160171437460887, 'a': 0.5}",20,8,-46.93234932320141,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
50,False,"{'e': 0.3641696800871167, 'a': 0.5}",20,6,-55.885572632040514,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
51,False,"{'e': 0.35688628648537435, 'a': 0.5}",20,0,-20.567612491872268,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
52,False,"{'e': 0.34974856075566685, 'a': 0.5}",30,1,6.427936661631145,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'e': 0.3427535895405535, 'a': 0.5}",20,0,-46.49283190561034,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
54,False,"{'e': 0.33589851774974244, 'a': 0.5}",30,17,11.396108140293046,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'e': 0.3291805473947476, 'a': 0.5}",25,16,-2.9081745076012835,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'e': 0.32259693644685267, 'a': 0.5}",25,7,-2.708277148393126,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
57,False,"{'e': 0.3161449977179156, 'a': 0.5}",25,1,-20.52832942389103,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
58,False,"{'e': 0.3098220977635573, 'a': 0.5}",20,5,5.054200064986356,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
59,False,"{'e': 0.30362565580828615, 'a': 0.5}",20,10,17.317761729881866,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'e': 0.2975531426921204, 'a': 0.5}",20,3,-26.353630804576063,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
61,False,"{'e': 0.291602079838278, 'a': 0.5}",30,13,15.240699171338512,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'e': 0.2857700382415124, 'a': 0.5}",20,5,-7.450507815041559,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
63,False,"{'e': 0.2800546374766822, 'a': 0.5}",25,0,1.5573698396146347,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
64,False,"{'e': 0.27445354472714856, 'a': 0.5}",20,0,2.8469963390006248,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
65,False,"{'e': 0.2689644738326056, 'a': 0.5}",20,16,6.930947852239514,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'e': 0.26358518435595346, 'a': 0.5}",25,16,15.437916155202245,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'e': 0.25831348066883436, 'a': 0.5}",20,7,11.192260790376093,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'e': 0.2531472110554577, 'a': 0.5}",30,22,9.848503209557128,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
