trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'e': 0.2800546374766822, 'a': 0.5}",20,0,-65.48649333279123,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
64,False,"{'e': 0.27445354472714856, 'a': 0.5}",30,15,-20.50112052842791,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
65,False,"{'e': 0.2689644738326056, 'a': 0.5}",25,8,-31.173349132743954,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
66,False,"{'e': 0.26358518435595346, 'a': 0.5}",25,11,23.5370483343694,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'e': 0.25831348066883436, 'a': 0.5}",35,19,-23.90760064454056,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
68,False,"{'e': 0.2531472110554577, 'a': 0.5}",20,3,-7.491167621009936,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
69,False,"{'e': 0.24808426683434853, 'a': 0.5}",20,0,13.365205110611104,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'e': 0.24312258149766156, 'a': 0.5}",20,11,12.806044391489332,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'e': 0.2382601298677083, 'a': 0.5}",20,8,-1.8036028262577934,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'e': 0.23349492727035415, 'a': 0.5}",20,11,9.215028291338673,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'e': 0.22882502872494706, 'a': 0.5}",25,15,-22.439054368397453,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'e': 0.22424852815044813, 'a': 0.5}",25,7,-3.303905733598266,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
75,False,"{'e': 0.21976355758743915, 'a': 0.5}",20,8,20.357218669689093,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'e': 0.21536828643569036, 'a': 0.5}",20,13,7.223944020465316,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'e': 0.21106092070697655, 'a': 0.5}",20,12,14.36460033771311,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'e': 0.20683970229283702, 'a': 0.5}",20,8,21.492157156242982,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'e': 0.20270290824698028, 'a': 0.5}",25,6,10.950147800835714,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'e': 0.19864885008204067, 'a': 0.5}",25,18,4.911458628015428,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'e': 0.19467587308039985, 'a': 0.5}",35,20,13.117660344217594,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'e': 0.19078235561879187, 'a': 0.5}",25,16,5.547978249287775,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'e': 0.18696670850641603, 'a': 0.5}",25,0,11.897291483469028,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
84,False,"{'e': 0.18322737433628772, 'a': 0.5}",20,8,9.874578053395506,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'e': 0.17956282684956196, 'a': 0.5}",25,8,32.32400704550904,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'e': 0.1759715703125707, 'a': 0.5}",20,0,3.0465049048638546,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
87,False,"{'e': 0.1724521389063193, 'a': 0.5}",25,4,-25.688401645038144,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
88,False,"{'e': 0.16900309612819292, 'a': 0.5}",25,5,31.623296289139525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'e': 0.16562303420562907, 'a': 0.5}",25,14,17.257263045749312,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'e': 0.16231057352151648, 'a': 0.5}",25,15,6.315155014346969,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'e': 0.15906436205108615, 'a': 0.5}",20,0,-21.3200421746815,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
92,False,"{'e': 0.15588307481006441, 'a': 0.5}",20,0,8.80852542945287,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
93,False,"{'e': 0.15276541331386312, 'a': 0.5}",25,17,15.77765905635241,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.14971010504758586, 'a': 0.5}",25,15,7.485103205042293,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'e': 0.14671590294663414, 'a': 0.5}",20,8,25.03970372056845,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'e': 0.14378158488770146, 'a': 0.5}",25,12,21.220026735040186,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'e': 0.14090595318994742, 'a': 0.5}",30,21,16.48340561863116,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
